Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,latitude,longitude
1,30/01/20,18:00:00,Kerala,0,0,1,20.5937,78.962
2,31/01/20,18:00:00,Kerala,0,0,1,20.5937,78.962
3,01/02/20,18:00:00,Kerala,0,0,2,20.5937,78.962
4,02/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
5,03/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
6,04/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
7,05/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
8,06/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
9,07/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
10,08/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
11,09/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
12,10/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
13,11/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
14,12/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
15,13/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
16,14/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
17,15/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
18,16/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
19,17/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
20,18/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
21,19/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
22,20/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
23,21/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
24,22/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
25,23/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
26,24/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
27,25/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
28,26/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
29,27/02/20,18:00:00,Kerala,0,0,3,20.5937,78.962
